Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
1/12/2015,Saving Bank account 1,Money transfer,,,50000,Expense,INR
1/7/2015,Saving Bank account 1,Rent,,,2833,Expense,INR
14/08/2015 09:22:01,Saving Bank account 1,Household,Kitchen,mixer Philips 7756,3499,Expense,INR
17/05/2015 17:57:12,Saving Bank account 1,Transportation,Taxi,BR to mumbai,6000,Expense,INR
2/2/2015,Saving Bank account 1,Other,,Permanent Residence money transfer,10000,Expense,INR
20/03/2015 19:08:18,Credit Card,Health,Hospital,dentist check-up,3700,Expense,INR
3/5/2015,Saving Bank account 1,Public Provident Fund,,April -May 10k contribution,20000,Expense,INR
3/5/2015,Cash,Cook,,,5000,Expense,INR
30/11/2015 11:30:45,Saving Bank account 1,Salary,,From workplace ,49806,Income,INR
30/12/2015 17:30:28,Cash,Beauty,Makeup,hair cut+shaving+dye+facial,2000,Expense,INR
31/03/2015 13:00:05,Saving Bank account 1,Salary,,From workplace ,70806,Income,INR
31/12/2015 16:56:24,Saving Bank account 1,Salary,,From workplace ,77335,Income,INR
7/10/2015,Saving Bank account 1,Gift,,kindle + gift wrap,8029,Expense,INR
1/12/2016,Saving Bank account 1,Investment,Public Provident Fund,,40000,Expense,INR
1/7/2016,Saving Bank account 1,Family,misc,Family Mobile Service Provider recharge,2599,Expense,INR
1/8/2016,Saving Bank account 1,Money transfer,,,15000,Expense,INR
11/4/2016,Saving Bank account 1,Food,Grocery,,1279,Expense,INR
14/11/2016 20:02:26,Saving Bank account 1,Transportation,Travels,Kabra Travels - Place 2 to BRC (2 Adults),4662,Expense,INR
28/11/2016 18:04:08,Saving Bank account 1,Household,Appliances,Metz 32 inch TV,20500,Expense,INR
29/12/2016 07:40:31,Saving Bank account 1,Gift,,Nokia 215 mobile for Aai,3195,Expense,INR
30/09/2016 06:28:02,Saving Bank account 1,Salary,,From workplace ,58058,Income,INR
31/03/2016 10:25:01,Saving Bank account 1,Salary,,From workplace ,70806,Income,INR
31/08/2016 15:47:44,Saving Bank account 1,Salary,,From workplace ,63894,Income,INR
31/10/2016 07:36:35,Saving Bank account 1,Festivals,Diwali,Mi band 5 ( Bhaiduj gift),1999,Expense,INR
31/12/2016 13:47:26,Cash,subscription,Edtech Course,EMI 1,2816,Expense,INR
8/1/2016,Saving Bank account 1,Other,,laptop table,1994,Expense,INR
1/1/2017,Saving Bank account 1,Money transfer,,,100000,Expense,INR
1/11/2017,Saving Bank account 1,Salary,,From workplace ,78298,Income,INR
12/11/2017,Credit Card,Other,,Shopping at Alfa,3690,Expense,INR
20/12/2017 10:31:16,Credit Card,subscription,Edtech Course,Renewal,28400,Expense,INR
22/02/2017 21:59:31,Saving Bank account 1,Transportation,Taxi,Place 2 to Place 1,5500,Expense,INR
22/08/2017 16:11:00,Cash,Family,Pocket money,,5000,Expense,INR
24/08/2017 16:09:05,Credit Card,Apparel,Clothing,Jaipuri handprinted Maharani Saree (1850 Two pcs + 1500 1 pc),5200,Expense,INR
3/5/2017,Saving Bank account 1,Household,Kitchen,Gas stove elica 3 burner,8825,Expense,INR
30/11/2017 08:15:06,Saving Bank account 1,Salary,,From workplace ,64636,Income,INR
30/11/2017 20:20:53,Credit Card,Health,Health,Family's Glasses,22700,Expense,INR
31/12/2017 08:15:25,Saving Bank account 1,Salary,,From workplace ,64623,Income,INR
8/10/2017,Credit Card,Gift,,For Friend,6500,Expense,INR
8/8/2017,Saving Bank account 1,Tourism,Trip,Tours and Travel,43000,Expense,INR
15/05/2018 20:10:10,Saving Bank account 1,Household,Appliances,LG Washing Machine,21500,Expense,INR
17/02/2018 23:10:32,Credit Card,Family,clothes,,3598,Expense,INR
17/02/2018 23:12:28,Credit Card,Food,Dinner,BBQ,1783,Expense,INR
18/01/2018 21:57:46,Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux second installment,50000,Expense,INR
23/06/2018 19:25:22,Credit Card,subscription,Mobile Service Provider,Annual recharge,2545,Expense,INR
27/06/2018 18:46:33,Credit Card,Other,,Shopping at Alfa,4720,Expense,INR
31/07/2018 13:45:08,Cash,maid,,July salary,2000,Expense,INR
31/07/2018 18:01:20,Saving Bank account 1,Money transfer,Home,,30000,Expense,INR
31/08/2018 09:27:28,Saving Bank account 1,Salary,,From workplace ,70255,Income,INR
4/1/2018,Equity Mutual Fund A,Maturity amount,,SIP Redemption,113376,Income,INR
4/1/2018,Equity Mutual Fund D,Maturity amount,,SIP Redemption,106875,Income,INR
5/8/2018,Credit Card,Health,Health,eyewear Glasses payment remaining,4300,Expense,INR
5/8/2018,Credit Card,Apparel,Clothing,For Family,3410,Expense,INR
